Asset Group,Class,Category,defect
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,صندوق المفاتيح والأفياش,فقدان في احد الأجزاء 
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,صندوق المفاتيح والأفياش,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,الخيمة,تلف احد السواتر 
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,الخيمة,فقدان احد السواتر
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,الخيمة,تلف قبة الخيمة
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,الخيمة,فقدان قبة الخيمة
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,الخيمة,عامود الخيمة مائلة 
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,الخيمة,تلف القواطع  
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,الخيمة,فقدان القواطع 
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,الخيمة,تلف في أرضية الخيمة 
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,الخيمة,تلف في غرفة تفتيش في الخيمة
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,وحدة التكييف,لا يعمل 
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,وحدة التكييف,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,وحدة التكييف,تسريب مياه من وحدة التكييف
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,وحدة التكييف,كسر احد مكونات وحدة التكييف 
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,وحدة التكييف,تسريب مياه من التمديدات وحدة التكييف
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,وحدة التكييف,انقطاع مياه 
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,وحدة التكييف,فقدان احد مكونات وحدة التكييف 
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,وحدة التكييف,انقطاع الكهرباء عن وحدة التكييف 
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,رشاشات الحريق,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,رشاشات الحريق,تالف
مخيمات إسكان الحجاج بمنى - غير مطورة,الخيام,رشاشات الحريق,تسرب مياه 
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,صندوق إطفاء الحريق,فقد احد مكونات صندوق الحريق
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,صندوق إطفاء الحريق,تلف احد مكونات صندوق الحريق
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,صندوق إطفاء الحريق,انقطاع مياه 
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,صندوق إطفاء الحريق,تسرب مياه 
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,لوحة الكهرباء بالممرات,لا يعمل
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,لوحة الكهرباء بالممرات,إنقطاع الكهرباء
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,لوحة الكهرباء بالممرات,فقدان احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,لوحة الكهرباء بالممرات,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,لوحة الكهرباء بالممرات,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,غرفة تفتيش التأريض,فقد الغطاء
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,غرفة تفتيش التأريض,تلف الغطاء
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,اضاءة الممرات,لا تعمل
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,اضاءة الممرات,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,اضاءة الممرات,تلف
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,بوابة المخيم الرئيسية,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,بوابة المخيم الرئيسية,البوابة مغلقة
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,بوابة المخيم الرئيسية,تلف في البوابة
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,بوابة المخيم الرئيسية,يوجد عوائق
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,بوابة المخيم الرئيسية,عدم وجود اللوحة الارشادية
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,بوابة المخيم الرئيسية,تلف اللوحة الارشادية
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,شاخص المخيم,تلف الشاخص
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,بوابة الطوارئ,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,بوابة الطوارئ,البوابة مغلقة
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,بوابة الطوارئ,تلف في البوابة
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,بوابة الطوارئ,عدم وجود اللوحة الارشادية
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,بوابة الطوارئ,تلف اللوحة الارشادية
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,بوابة الطوارئ,يوجد عوائق
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,غرف تغتيش,غطاء تالف
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,غرف تغتيش,هبوط/ ارتفاع المنسوب 
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,غرف تغتيش,فقدان الغطاء
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,غرف تغتيش,طفح
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,درج,تالف
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,درج,فقدان السياج / الحاجز
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,درج,وجود عوائق
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,ارضيات انترلوك,فقد جزئي
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,ارضيات انترلوك,تلف جزئي
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,ارضيات انترلوك,هبوط/ ارتفاع المنسوب 
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,ارضيات انترلوك,وجود عوائق
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,سلم كهربائي,لايعمل
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,سلم كهربائي,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,سلم كهربائي,كسر في احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,سلم كهربائي,نظافة 
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,سلم كهربائي,وجود عوائق
مخيمات إسكان الحجاج بمنى - غير مطورة,الممرات والاسوار,سلم كهربائي,حريق 
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة الكهرباء,اللوحة الرئيسية,إنقطاع الكهرباء
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة الكهرباء,اللوحة الرئيسية,فقدان احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة الكهرباء,اللوحة الرئيسية,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة الكهرباء,اللوحة الرئيسية,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة الكهرباء,اللوحة الرئيسية,حريق 
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة المحابس,المحبس,تسريب
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة المحابس,المحبس,مغلق
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة المحابس,المحبس,طفح الغرفة
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة المحابس,المحبس,تلف
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة المحابس,صفارة العبث بمحبس الضغط, فقد
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة المحابس,صفارة العبث بمحبس الضغط,تلف
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة المحابس,مفتاح العبث بالمحابس,تلف
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة المحابس,مفتاح العبث بالمحابس,فقد 
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة المحابس,مفتاح العبث بالمحابس,لا يعمل
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة المحابس,حساس الضغط,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة المحابس,حساس الضغط,لا يعمل
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة المحابس,حساس الضغط,تلف
مخيمات إسكان الحجاج بمنى - غير مطورة,غرفة المحابس,حساس الضغط,تسريب 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,لوحة الكهرباء,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,لوحة الكهرباء,لا يعمل
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,لوحة الكهرباء,إنقطاع الكهرباء
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,لوحة الكهرباء,فقدان احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,لوحة الكهرباء,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,لوحة الكهرباء,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,لوحة الكهرباء,حريق 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,صندوق المفاتيح والأفياش,فقدان في احد الأجزاء 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,صندوق المفاتيح والأفياش,لا يعمل
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,صندوق المفاتيح والأفياش,تلف
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,صندوق المفاتيح والأفياش,حريق 
مخيمات إسكان الحجاج بمنى - غير مطورة,مطبخ,صندوق المفاتيح والأفياش,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,عداد الكهرباء,تلف
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,عداد الكهرباء,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,وحدة اضاءة,لا تعمل
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,وحدة اضاءة,مفقودة
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,وحدة اضاءة,تعمل جزئيا
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,وحدة اضاءة,التماس
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,كرسي الدورة,تلف
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,كرسي الدورة,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,كرسي الدورة,انسداد
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,كرسي الدورة,نظافة 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,كرسي الدورة,طفح
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,كرسي الدورة,تلف في احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,كرسي الدورة,فقد في احد المكونات
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,كرسي الدورة,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,كرسي الدورة,تسريب
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,مبولة,تلف في احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,مبولة,فقد في احد المكونات
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,مبولة,نظافة 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,مبولة,انسداد
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,مبولة,تسريب
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,المواضئ,انقطاع المياه
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,المواضئ,نظافة 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,المواضئ,طفح
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,المواضئ,تسريب
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,صنبور المياه,تلف
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,صنبور المياه,فقد
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,صنبور المياه,انقطاع المياه
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,صنبور المياه,تسريب
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,وحدة الاستحمام,تلف في احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,وحدة الاستحمام,فقد في احد المكونات
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,وحدة الاستحمام,انقطاع المياه
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,وحدة الاستحمام,تسريب
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,مغسلة,تلف في احد المكونات 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,مغسلة,فقد
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,مغسلة,انقطاع المياه
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,مغسلة,تسريب
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,مرآة,تلف
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,مرآة,فقد
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,درابزين,تلف
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,درابزين,فقد
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,المحبس المغذي للدورة,تلف
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,المحبس المغذي للدورة,فقد
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,المحبس المغذي للدورة,تسريب
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,غرفة التفتيش,غطاء المنهول تالف
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,غرفة التفتيش,هبوط/ ارتفاع منسوب المنهول  
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,غرفة التفتيش,فقدان الغطاء
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,غرفة التفتيش,طفح
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,شبك تصريف المياه,مفقود
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,شبك تصريف المياه,تالف 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,لوحات ارشادية,لايوجد
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,لوحات ارشادية,تالف 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,لوحات ارشادية,غير واضحة 
مخيمات إسكان الحجاج بمنى - غير مطورة,مجمعات دورات المياه بالمخيمات,لوحات ارشادية,آيلة للسقوط
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,وحدة تحكم نظام مكافحة الحريق (MCH3),مفقود
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,وحدة تحكم نظام مكافحة الحريق (MCH3),تالف
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,وحدة تحكم نظام مكافحة الحريق (MCH3),فقدان احد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,وحدة التكييف المركزي,تبريد ضعيف
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,وحدة التكييف المركزي,انقطاع التيار 
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,وحدة التكييف المركزي,تسريب 
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,وحدة التكييف المركزي,تعطل وحدة التحكم
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,وحدة التكييف المركزي,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,وحدة التكييف المركزي,فقدان احد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,لوحة التحكم بالموقد,تالف
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,لوحة التحكم بالموقد,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,لوحة التحكم بالموقد,كسر في باب وحدة التحكم
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,لوحة التحكم بالموقد,كسر في احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,لوحة التحكم بالموقد,فقدان احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,لوحة التحكم بالموقد,التماس 
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,لوحة التحكم بالموقد,تالف
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,الكاميرات,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,الكاميرات,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور,مدخنة المطبخ,تالف
